RowNumber,CustomerId,Department,Gender,Years of Experience,Salary
1,15634602,Banking,Female,13.2,101348.88
2,15647311,Marketing,Female,14.6,112542.58
3,15619304,Banking,Female,14.8,113931.57
4,15701354,Banking,Female,12.2,93826.63
5,15737888,Marketing,Female,10.3,79084.1
6,15574012,Marketing,Male,19.5,149756.71
7,15592531,Banking,Male,1.3,10062.8
8,15656148,IT,Female,15.5,119346.88
9,15792365,Banking,Male,9.7,74940.5
10,15592389,Banking,Male,9.3,71725.73
11,15767821,Banking,Male,10.4,80181.12
12,15737173,Marketing,Male,9.9,76390.01
13,15632264,Banking,Female,3.4,26260.98
14,15691483,Banking,Female,24.8,190857.79
15,15600882,Marketing,Female,8.6,65951.65
16,15643966,IT,Male,8.4,64327.26
17,15737452,IT,Male,0.7,5097.67
18,15788218,Marketing,Female,1.9,14406.41
19,15661507,Marketing,Male,20.6,158684.81
20,15568982,Banking,Female,7.1,54724.03
21,15577657,Banking,Male,22.2,170886.17
22,15597945,Marketing,Female,18,138555.46
23,15699309,Marketing,Female,15.5,118913.53
24,15725737,Banking,Male,1.1,8487.75
25,15625047,Banking,Female,24.4,187616.16
26,15738191,Banking,Male,16.2,124508.29
27,15736816,IT,Male,22.1,170041.95
28,15700772,Banking,Male,5,38433.35
29,15728693,IT,Female,13,100187.43
30,15656300,Banking,Male,7,53483.21
31,15589475,Marketing,Female,18.3,140469.38
32,15706552,Banking,Male,20.4,156731.91
33,15750181,IT,Male,10.6,81898.81
34,15659428,Marketing,Female,4.5,34410.55
35,15732963,Marketing,Female,18.5,142033.07
36,15794171,Banking,Female,3.6,27822.99
37,15788448,Marketing,Male,14.8,114066.77
38,15729599,Marketing,Male,12.8,98453.45
39,15717426,Banking,Male,5.3,40812.9
40,15585768,IT,Male,23.1,178074.04
41,15619360,Marketing,Male,9.1,70154.22
42,15738148,Banking,Female,23.6,181297.65
43,15687946,Banking,Female,12.2,94153.83
44,15755196,Banking,Female,25.3,194365.76
45,15684171,Marketing,Female,20.6,158338.39
46,15754849,IT,Female,16.4,126517.46
47,15602280,IT,Female,15.6,119708.21
48,15771573,IT,Female,15.3,117622.8
49,15766205,IT,Male,11.8,90878.13
50,15771873,IT,Female,25.2,194099.12
51,15616550,IT,Male,25.7,198059.16
52,15768193,IT,Male,11.2,86424.57
53,15683553,Banking,Female,15.2,116978.19
54,15702298,IT,Male,21.3,164040.94
55,15569590,IT,Male,5.2,40014.76
56,15760861,Banking,Male,14.7,113410.49
57,15630053,Banking,Male,11.3,87107.57
58,15647091,IT,Male,5.9,45613.75
59,15623944,Marketing,Female,0.2,1643.11
60,15804771,Banking,Male,6.1,46775.28
61,15651280,IT,Male,11,84509.57
62,15773469,IT,Female,16.4,126494.82
63,15702014,Marketing,Male,23.2,178798.13
64,15751208,Marketing,Male,12.9,99398.36
65,15592461,IT,Male,12.1,92840.67
66,15789484,IT,Female,3.6,27758.36
67,15696061,IT,Female,14.4,110431.51
68,15641582,IT,Male,25.6,196673.28
69,15638424,IT,Female,14.8,113656.85
70,15755648,Banking,Female,2.4,18203
71,15703793,IT,Male,3.7,28373.86
72,15620344,Banking,Male,4.4,33953.87
73,15812518,Marketing,Female,5.7,44203.55
74,15779052,IT,Female,7.6,58426.81
75,15770811,Banking,Male,18.9,145562.4
76,15780961,Banking,Female,2.9,22388
77,15614049,Banking,Male,18.1,139161.64
78,15662085,Banking,Female,19.3,148210.64
79,15575185,Marketing,Male,25.3,194239.63
80,15803136,IT,Female,12.8,98301.61
81,15706021,Banking,Female,22.3,171413.66
82,15663706,Banking,Female,17.7,136458.19
83,15641732,Banking,Female,3.4,26019.59
84,15701164,Banking,Female,20.7,159235.29
85,15738751,Banking,Female,0.2,1907.66
86,15805254,Marketing,Female,14.9,114675.75
87,15762418,Marketing,Male,16.7,128643.35
88,15625759,Banking,Male,19.7,151869.35
89,15622897,Banking,Female,12.1,93251.42
90,15767954,IT,Female,20.4,156791.36
91,15757535,Marketing,Female,22.6,174205.22
92,15731511,Banking,Male,19.1,147132.46
93,15809248,Banking,Female,14.2,109614.57
94,15640635,Banking,Male,22.4,172290.61
95,15676966,Marketing,Male,11.2,85982.47
96,15699461,Marketing,Male,15.8,121277.78
97,15738721,Marketing,Male,8.4,64595.25
98,15693683,IT,Male,25.6,197276.13
99,15604348,Marketing,Male,13,99645.04
100,15633059,Banking,Male,0.8,6534.18
101,15808582,Banking,Female,21,161848.03
102,15743192,Banking,Female,21.7,167162.43
103,15580146,Banking,Male,5.5,41970.72
104,15776605,Marketing,Male,7.9,60536.56
105,15804919,Marketing,Female,23.1,177655.68
106,15613854,Marketing,Female,4,30984.59
107,15599195,IT,Male,1.3,10054.53
108,15812878,IT,Female,4.8,36976.52
109,15602312,Marketing,Male,9.3,71862.79
110,15744689,IT,Male,12.9,99449.86
111,15803526,IT,Male,8.2,63082.88
